,date,Country, Births per 1000 People, Population,Total Number of Births, Deaths per 1000 People,Total Number of Deaths
0,12/31/50,China,46.133,554419273,25577024.321309,23.366,12954560.732918
1,12/31/51,China,44.92100000000001,569909117,25600887.444757003,23.105999999999998,13168320.057401998
2,12/31/52,China,43.71,582576491,25464418.42161,22.845,13308959.936894998
3,12/31/53,China,42.498000000000005,593365877,25216863.040746003,22.585,13401168.332045
4,12/31/54,China,41.286,603052324,24897618.248664003,22.325,13463143.133299999
5,12/31/55,China,40.075,612241554,24535580.276550002,22.064,13508497.647456
6,12/31/56,China,38.863,621363234,24148039.362942003,21.804000000000002,13548203.954136001
7,12/31/57,China,37.652,630677645,23746274.689540002,21.543000000000003,13586688.506235002
8,12/31/58,China,36.44,640295772,23332377.93168,21.283,13627414.915476002
9,12/31/59,China,37.034,650212734,24079978.390955996,21.156999999999996,13756550.813237997
10,12/31/60,China,37.629,660408056,24850494.739223998,21.031,13889041.825736
11,12/31/61,China,38.223,670952695,25645824.860985,20.905,14026266.088975001
12,12/31/62,China,38.818000000000005,682102655,26477860.861790005,20.779,14173411.068245001
13,12/31/63,China,39.412,694339083,27365291.939195998,20.653000000000002,14340185.081199002
14,12/31/64,China,39.427,708254597,27924353.995919,19.082,13514914.219954
15,12/31/65,China,39.442,724218968,28564644.535855997,17.511,12681798.348647999
16,12/31/66,China,39.458,742414885,29294206.53233,15.940999999999999,11834835.681785
17,12/31/67,China,39.473,762581176,30101366.760248,14.37,10958291.499119999
18,12/31/68,China,39.488,784074709,30961542.108992,12.799000000000001,10035372.200491002
19,12/31/69,China,37.976,805985939,30608122.019464,12.075,9732280.213425
20,12/31/70,China,36.463,827601394,30176829.629422,11.350999999999999,9394103.423293998
21,12/31/71,China,34.951,848759710,29665000.62421,10.626,9018920.678459998
22,12/31/72,China,33.438,869485964,29073871.664232,9.902000000000001,8609650.015528
23,12/31/73,China,31.926,889485372,28397709.986472,9.177999999999999,8163696.744216
24,12/31/74,China,30.039,908464198,27289356.043722,8.772,7969047.944856
25,12/31/75,China,28.151999999999997,926240885,26075533.394519996,8.366,7748931.24391
26,12/31/76,China,26.265,942685411,24759632.319915,7.959,7502833.186148999
27,12/31/77,China,24.378,957891272,23351473.428816,7.553,7234952.777416
28,12/31/78,China,22.491,972205442,21865872.596022,7.147,6948352.293974
29,12/31/79,China,22.230999999999998,986132202,21922704.982662,7.039,6941384.569877999
30,12/31/80,China,21.971999999999998,1000089235,21973960.671419997,6.93,6930618.39855
31,12/31/81,China,21.712,1014022212,22016450.266944,6.822,6917659.5302639995
32,12/31/82,China,21.453000000000003,1027948987,22052589.618111003,6.712999999999999,6900621.549730999
33,12/31/83,China,21.193,1042431412,22092248.914516002,6.605,6885259.47626
34,12/31/84,China,21.908,1058171976,23182431.650208,6.625,7010389.341
35,12/31/85,China,22.623,1075589361,24333058.113903,6.645,7147291.3038449995
36,12/31/86,China,23.339000000000002,1095014109,25556534.289951004,6.664,7297174.022375999
37,12/31/87,China,24.054000000000002,1116095476,26846560.579704,6.684,7459982.161584001
38,12/31/88,China,24.769000000000002,1137724227,28180291.378563,6.704,7627303.217808
39,12/31/89,China,23.299,1158357397,26988568.992703,6.702000000000001,7763311.274694001
40,12/31/90,China,21.829,1176883674,25690193.719746,6.7,7885120.6158
41,12/31/91,China,20.359,1192897284,24286195.804956,6.699,7991218.9055159995
42,12/31/92,China,18.889,1206711244,22793568.687916,6.697,8081345.201068
43,12/31/93,China,17.419,1218817055,21230574.281045,6.695,8159980.183225
44,12/31/94,China,16.85,1230020031,20725837.522350002,6.69,8228834.00739
45,12/31/95,China,16.28,1240920535,20202186.309800003,6.685,8295553.776474999
46,12/31/96,China,15.710999999999999,1251636186,19664456.118245997,6.68,8360929.72248
47,12/31/97,China,15.140999999999998,1261996012,19107881.617691997,6.675,8423823.380099999
48,12/31/98,China,14.572000000000001,1271982350,18535326.8042,6.67,8484122.2745
49,12/31/99,China,14.274000000000001,1281514832,18292342.711968,6.665,8541296.355279999
