,date,Country, Births per 1000 People, Population,Total Number of Births, Deaths per 1000 People,Total Number of Deaths
0,12/31/50,France,19.636,41833882,821450.1069520001,13.259,554675.441438
1,12/31/51,France,19.461,42031191,817969.0080509998,13.077,549641.884707
2,12/31/52,France,19.285,42315600,816056.346,12.895,545659.662
3,12/31/53,France,19.109,42654662,815087.9361580001,12.713,542268.7180059999
4,12/31/54,France,18.933,43024816,814588.841328,12.530999999999999,539143.969296
5,12/31/55,France,18.757,43411367,814267.010819,12.349,536086.971083
6,12/31/56,France,18.582,43808989,814058.633598,12.167,533023.969163
7,12/31/57,France,18.406,44221227,813935.9041619999,11.985,529991.405595
8,12/31/58,France,18.23,44659046,814134.40858,11.802999999999999,527110.719938
9,12/31/59,France,18.241,45138438,823370.2475579999,11.697000000000001,527984.309286
10,12/31/60,France,18.252,45673146,833626.260792,11.591,529397.4352859999
11,12/31/61,France,18.264,46266981,845020.1409839999,11.484000000000002,531330.009804
12,12/31/62,France,18.275,46907042,857226.1925499999,11.378,533708.323876
13,12/31/63,France,18.285999999999998,47560826,869697.2642359999,11.272,536105.630672
14,12/31/64,France,18.066,48184418,870499.6955879999,11.228,541014.645304
15,12/31/65,France,17.846,48746652,869932.751592,11.185,545231.30262
16,12/31/66,France,17.625999999999998,49232539,867772.732414,11.140999999999998,548499.7169989999
17,12/31/67,France,17.406,49651083,864226.750698,11.097999999999999,551027.7191339999
18,12/31/68,France,17.186,50024582,859722.466252,11.054,552971.7294279999
19,12/31/69,France,16.964000000000002,50387448,854772.6678720001,10.99,553758.05352
20,12/31/70,France,16.742,50763920,849889.5486399999,10.925999999999998,554646.5899199999
21,12/31/71,France,16.519000000000002,51162568,845154.460792,10.860999999999999,555676.651048
22,12/31/72,France,16.297,51573265,840489.4997050001,10.797,556836.5422050001
23,12/31/73,France,16.075,51979527,835570.896525,10.732999999999999,557896.2632909999
24,12/31/74,France,15.62,52356796,817813.1535199999,10.655,557861.66138
25,12/31/75,France,15.165,52688576,799022.25504,10.577,557287.068352
26,12/31/76,France,14.709000000000001,52969317,779125.683753,10.498,556071.8898659999
27,12/31/77,France,14.254000000000001,53208554,758434.7287160001,10.42,554433.1326799999
28,12/31/78,France,13.799000000000001,53423112,737185.522488,10.342,552501.824304
29,12/31/79,France,13.87,53637069,743946.14703,10.300999999999998,552515.447769
30,12/31/80,France,13.94,53868009,750920.0454599999,10.26,552685.77234
31,12/31/81,France,14.011,54121013,758289.513143,10.22,553116.75286
32,12/31/82,France,14.081,54391471,765886.3031510001,10.179,553650.783309
33,12/31/83,France,14.152000000000001,54675371,773765.850392,10.138,554298.911198
34,12/31/84,France,14.058,54965164,772700.275512,10.035,551575.42074
35,12/31/85,France,13.964,55254848,771578.697472,9.932,548791.150336
36,12/31/86,France,13.869000000000002,55545273,770357.3912370001,9.828,545898.943044
37,12/31/87,France,13.775,55837627,769163.311925,9.725,543020.922575
38,12/31/88,France,13.681,56126325,767864.2523249999,9.622,540047.4991499999
39,12/31/89,France,13.502,56404304,761570.912608,9.547,538491.890288
40,12/31/90,France,13.324000000000002,56666849,755029.0960760001,9.472999999999999,536805.0605769999
41,12/31/91,France,13.145,56913587,748129.101115,9.398,534873.890626
42,12/31/92,France,12.967,57147213,741027.9109710001,9.324,532840.6140119999
43,12/31/93,France,12.788,57370381,733652.432228,9.249,530618.653869
44,12/31/94,France,12.769,57587131,735330.075739,9.238999999999999,532047.5033089999
45,12/31/95,France,12.75,57801892,736974.123,9.23,533511.46316
46,12/31/96,France,12.731,58012058,738551.510398,9.22,534871.1747600001
47,12/31/97,France,12.712,58220659,740101.017208,9.211,536270.490049
48,12/31/98,France,12.693,58444246,741832.8144779999,9.201,537745.507446
49,12/31/99,France,12.725,58704381,747013.248225,9.146,536910.268626
50,12/31/00,France,12.757,59015096,752855.5796719999,9.092,536565.252832
51,12/31/01,France,12.788,59384132,759404.280016,9.037,536654.4008840001
52,12/31/02,France,12.82,59803441,766680.11362,8.982999999999999,537214.3105029999
53,12/31/03,France,12.852,60251588,774353.408976,8.927999999999999,537926.177664
54,12/31/04,France,12.845999999999998,60697981,779726.2639259999,8.86,537784.1116599999
55,12/31/05,France,12.84,61120127,784782.43068,8.792,537368.156584
56,12/31/06,France,12.835,61508926,789467.06521,8.722999999999999,536542.361498
57,12/31/07,France,12.829,61869227,793720.3131830001,8.655,535478.159685
58,12/31/08,France,12.823,62209207,797708.661361,8.587,534190.460509
59,12/31/09,France,12.728,62542900,796046.0312,8.617,538932.1693000001
60,12/31/10,France,12.633,62879530,794357.1024899998,8.646,543656.41638
61,12/31/11,France,12.537,63222227,792617.0598990001,8.676,548516.041452
62,12/31/12,France,12.442,63564221,790866.0376820001,8.705,553326.5438049999
63,12/31/13,France,12.347000000000001,63893525,788893.353175,8.735,558109.940875
64,12/31/14,France,12.125,64193550,778346.79375,8.842,567599.3691
65,12/31/15,France,11.902000000000001,64453200,767121.9864,8.949,576791.6867999999
66,12/31/16,France,11.68,64667596,755317.52128,9.055,585565.08178
67,12/31/17,France,11.457,64842509,742900.625613,9.162,594087.067458
68,12/31/18,France,11.235,64990511,730168.3910849999,9.269,602397.046459
69,12/31/19,France,11.171,65129728,727564.1914879999,9.317,606813.675776
