date, Births per 1000 People, Annual % Change
12/31/50,19.636,
12/31/51,19.461,-0.89
12/31/52,19.285,-0.9
12/31/53,19.109,-0.91
12/31/54,18.933,-0.92
12/31/55,18.757,-0.93
12/31/56,18.582,-0.93
12/31/57,18.406,-0.95
12/31/58,18.23,-0.96
12/31/59,18.241,0.06
12/31/60,18.252,0.06
12/31/61,18.264,0.07
12/31/62,18.275,0.06
12/31/63,18.286,0.06
12/31/64,18.066,-1.2
12/31/65,17.846,-1.22
12/31/66,17.626,-1.23
12/31/67,17.406,-1.25
12/31/68,17.186,-1.26
12/31/69,16.964,-1.29
12/31/70,16.742,-1.31
12/31/71,16.519,-1.33
12/31/72,16.297,-1.34
12/31/73,16.075,-1.36
12/31/74,15.62,-2.83
12/31/75,15.165,-2.91
12/31/76,14.709,-3.01
12/31/77,14.254,-3.09
12/31/78,13.799,-3.19
12/31/79,13.87,0.51
12/31/80,13.94,0.5
12/31/81,14.011,0.51
12/31/82,14.081,0.5
12/31/83,14.152,0.5
12/31/84,14.058,-0.66
12/31/85,13.964,-0.67
12/31/86,13.869,-0.68
12/31/87,13.775,-0.68
12/31/88,13.681,-0.68
12/31/89,13.502,-1.31
12/31/90,13.324,-1.32
12/31/91,13.145,-1.34
12/31/92,12.967,-1.35
12/31/93,12.788,-1.38
12/31/94,12.769,-0.15
12/31/95,12.75,-0.15
12/31/96,12.731,-0.15
12/31/97,12.712,-0.15
12/31/98,12.693,-0.15
12/31/99,12.725,0.25
12/31/00,12.757,0.25
12/31/01,12.788,0.24
12/31/02,12.82,0.25
12/31/03,12.852,0.25
12/31/04,12.846,-0.05
12/31/05,12.84,-0.05
12/31/06,12.835,-0.04
12/31/07,12.829,-0.05
12/31/08,12.823,-0.05
12/31/09,12.728,-0.74
12/31/10,12.633,-0.75
12/31/11,12.537,-0.76
12/31/12,12.442,-0.76
12/31/13,12.347,-0.76
12/31/14,12.125,-1.8
12/31/15,11.902,-1.84
12/31/16,11.68,-1.87
12/31/17,11.457,-1.91
12/31/18,11.235,-1.94
12/31/19,11.171,-0.57
12/31/20,11.107,-0.57
12/31/21,11.042,-0.59
12/31/22,10.978,-0.58
12/31/23,10.914,-0.58
12/31/24,10.862,-0.48
12/31/25,10.809,-0.49
12/31/26,10.757,-0.48
12/31/27,10.704,-0.49
12/31/28,10.652,-0.49
12/31/29,10.637,-0.14
12/31/30,10.623,-0.13
12/31/31,10.608,-0.14
12/31/32,10.594,-0.13
12/31/33,10.579,-0.14
12/31/34,10.583,0.04
12/31/35,10.586,0.03
12/31/36,10.59,0.04
12/31/37,10.593,0.03
12/31/38,10.597,0.04
12/31/39,10.577,-0.19
12/31/40,10.557,-0.19
12/31/41,10.538,-0.18
12/31/42,10.518,-0.19
12/31/43,10.498,-0.19
12/31/44,10.451,-0.45
12/31/45,10.403,-0.46
12/31/46,10.356,-0.45
12/31/47,10.308,-0.46
12/31/48,10.261,-0.46
12/31/49,10.213,-0.47
12/31/50,10.164,-0.48
12/31/51,10.116,-0.47
12/31/52,10.067,-0.48
12/31/53,10.019,-0.48
12/31/54,9.996,-0.23
12/31/55,9.972,-0.24
12/31/56,9.949,-0.23
12/31/57,9.925,-0.24
12/31/58,9.902,-0.23
12/31/59,9.898,-0.04
12/31/60,9.893,-0.05
12/31/61,9.889,-0.04
12/31/62,9.884,-0.05
12/31/63,9.88,-0.04
12/31/64,9.884,0.04
12/31/65,9.889,0.05
12/31/66,9.893,0.04
12/31/67,9.898,0.05
12/31/68,9.902,0.04
12/31/69,9.897,-0.05
12/31/70,9.892,-0.05
12/31/71,9.886,-0.06
12/31/72,9.881,-0.05
12/31/73,9.876,-0.05
12/31/74,9.859,-0.17
12/31/75,9.842,-0.17
12/31/76,9.826,-0.16
12/31/77,9.809,-0.17
12/31/78,9.792,-0.17
12/31/79,9.761,-0.32
12/31/80,9.73,-0.32
12/31/81,9.698,-0.33
12/31/82,9.667,-0.32
12/31/83,9.636,-0.32
12/31/84,9.61,-0.27
12/31/85,9.583,-0.28
12/31/86,9.557,-0.27
12/31/87,9.53,-0.28
12/31/88,9.504,-0.27
12/31/89,9.49,-0.15
12/31/90,9.477,-0.14
12/31/91,9.463,-0.15
12/31/92,9.45,-0.14
12/31/93,9.436,-0.15
12/31/94,9.431,-0.05
12/31/95,9.425,-0.06
12/31/96,9.42,-0.05
12/31/97,9.414,-0.06
12/31/98,9.409,-0.05
12/31/99,9.404,-0.05
12/31/00,9.398,-0.06
