,date,Country, Births per 1000 People, Population,Total Number of Births, Deaths per 1000 People,Total Number of Deaths
0,12/31/50,Germany,15.13,69966243,1058589.2565900001,10.876,760952.8588679999
1,12/31/51,Germany,15.314,70300010,1076574.35314,10.957,770277.2095700001
2,12/31/52,Germany,15.497,70620277,1094402.432669,11.039000000000001,779577.2378030001
3,12/31/53,Germany,15.681,70929844,1112250.883764,11.120999999999999,788810.7951239999
4,12/31/54,Germany,15.865,71233392,1130117.7640799999,11.203,798027.690576
5,12/31/55,Germany,16.048,71537459,1148033.1420319998,11.285,807300.2248150001
6,12/31/56,Germany,16.232,71850649,1166279.7345679998,11.366,816654.4765339999
7,12/31/57,Germany,16.415,72183458,1184891.4630699998,11.448,826356.227184
8,12/31/58,Germany,16.599,72547578,1204217.247222,11.53,836473.5743399999
9,12/31/59,Germany,16.813,72954886,1226590.4983179998,11.595999999999998,845984.8580559999
10,12/31/60,Germany,17.028,73414239,1250097.661692,11.662,856156.855218
11,12/31/61,Germany,17.242,73928082,1274667.9898440002,11.728,867028.545696
12,12/31/62,Germany,17.457,74489454,1300362.3984780002,11.794,878528.6204760001
13,12/31/63,Germany,17.671,75080748,1326751.897908,11.86,890457.67128
14,12/31/64,Germany,17.333,75677307,1311714.762231,11.936,903284.336352
15,12/31/65,Germany,16.995,76258032,1296005.2538400001,12.011,915935.222352
16,12/31/66,Germany,16.658,76819577,1279660.5136660002,12.087,928518.227199
17,12/31/67,Germany,16.32,77357255,1262470.4016,12.162,940818.9353100001
18,12/31/68,Germany,15.982000000000001,77847179,1244153.6147780002,12.238,952693.776602
19,12/31/69,Germany,15.050999999999998,78260755,1177902.6235049998,12.270999999999999,960337.7246049999
20,12/31/70,Germany,14.12,78578385,1109526.7962,12.304,966828.44904
21,12/31/71,Germany,13.187999999999999,78789939,1039081.715532,12.338,972110.267382
22,12/31/72,Germany,12.257,78901818,967099.583226,12.370999999999999,976094.3904779999
23,12/31/73,Germany,11.325999999999999,78932455,893988.9853299999,12.404000000000002,979078.1718200002
24,12/31/74,Germany,11.123,78909807,877713.783261,12.392999999999999,977929.2381509999
25,12/31/75,Germany,10.92,78856039,861107.94588,12.383,976474.3309369999
