date, Births per 1000 People, Annual % Change
12/31/50,15.13,
12/31/51,15.314,1.22
12/31/52,15.497,1.19
12/31/53,15.681,1.19
12/31/54,15.865,1.17
12/31/55,16.048,1.15
12/31/56,16.232,1.15
12/31/57,16.415,1.13
12/31/58,16.599,1.12
12/31/59,16.813,1.29
12/31/60,17.028,1.28
12/31/61,17.242,1.26
12/31/62,17.457,1.25
12/31/63,17.671,1.23
12/31/64,17.333,-1.91
12/31/65,16.995,-1.95
12/31/66,16.658,-1.98
12/31/67,16.32,-2.03
12/31/68,15.982,-2.07
12/31/69,15.051,-5.83
12/31/70,14.12,-6.19
12/31/71,13.188,-6.6
12/31/72,12.257,-7.06
12/31/73,11.326,-7.6
12/31/74,11.123,-1.79
12/31/75,10.92,-1.83
12/31/76,10.716,-1.87
12/31/77,10.513,-1.89
12/31/78,10.31,-1.93
12/31/79,10.384,0.72
12/31/80,10.458,0.71
12/31/81,10.532,0.71
12/31/82,10.606,0.7
12/31/83,10.68,0.7
12/31/84,10.735,0.51
12/31/85,10.79,0.51
12/31/86,10.846,0.52
12/31/87,10.901,0.51
12/31/88,10.956,0.5
12/31/89,10.743,-1.94
12/31/90,10.53,-1.98
12/31/91,10.316,-2.03
12/31/92,10.103,-2.06
12/31/93,9.89,-2.11
12/31/94,9.825,-0.66
12/31/95,9.761,-0.65
12/31/96,9.696,-0.67
12/31/97,9.632,-0.66
12/31/98,9.567,-0.67
12/31/99,9.412,-1.62
12/31/00,9.256,-1.66
12/31/01,9.101,-1.67
12/31/02,8.945,-1.71
12/31/03,8.79,-1.73
12/31/04,8.703,-0.99
12/31/05,8.616,-1
12/31/06,8.53,-1
12/31/07,8.443,-1.02
12/31/08,8.356,-1.03
12/31/09,8.389,0.39
12/31/10,8.422,0.39
12/31/11,8.456,0.4
12/31/12,8.489,0.39
12/31/13,8.522,0.39
12/31/14,8.7,2.09
12/31/15,8.878,2.05
12/31/16,9.057,2.02
12/31/17,9.235,1.97
12/31/18,9.413,1.93
12/31/19,9.405,-0.08
12/31/20,9.397,-0.09
12/31/21,9.389,-0.09
12/31/22,9.381,-0.09
12/31/23,9.373,-0.09
12/31/24,9.322,-0.54
12/31/25,9.271,-0.55
12/31/26,9.219,-0.56
12/31/27,9.168,-0.55
12/31/28,9.117,-0.56
12/31/29,9.067,-0.55
12/31/30,9.017,-0.55
12/31/31,8.966,-0.57
12/31/32,8.916,-0.56
12/31/33,8.866,-0.56
12/31/34,8.833,-0.37
12/31/35,8.8,-0.37
12/31/36,8.768,-0.36
12/31/37,8.735,-0.38
12/31/38,8.702,-0.38
12/31/39,8.701,-0.01
12/31/40,8.7,-0.01
12/31/41,8.698,-0.02
12/31/42,8.697,-0.01
12/31/43,8.696,-0.01
12/31/44,8.738,0.48
12/31/45,8.781,0.49
12/31/46,8.823,0.48
12/31/47,8.866,0.49
12/31/48,8.908,0.47
12/31/49,8.964,0.63
12/31/50,9.02,0.62
12/31/51,9.077,0.63
12/31/52,9.133,0.62
12/31/53,9.189,0.61
12/31/54,9.208,0.21
12/31/55,9.227,0.21
12/31/56,9.247,0.22
12/31/57,9.266,0.21
12/31/58,9.285,0.21
12/31/59,9.277,-0.09
12/31/60,9.269,-0.09
12/31/61,9.261,-0.09
12/31/62,9.253,-0.09
12/31/63,9.245,-0.09
12/31/64,9.227,-0.19
12/31/65,9.209,-0.2
12/31/66,9.192,-0.18
12/31/67,9.174,-0.2
12/31/68,9.156,-0.2
12/31/69,9.148,-0.09
12/31/70,9.141,-0.08
12/31/71,9.133,-0.09
12/31/72,9.126,-0.08
12/31/73,9.118,-0.09
12/31/74,9.129,0.12
12/31/75,9.139,0.11
12/31/76,9.15,0.12
12/31/77,9.16,0.11
12/31/78,9.171,0.12
12/31/79,9.195,0.26
12/31/80,9.218,0.25
12/31/81,9.242,0.26
12/31/82,9.265,0.25
12/31/83,9.289,0.26
12/31/84,9.306,0.18
12/31/85,9.323,0.18
12/31/86,9.34,0.18
12/31/87,9.357,0.18
12/31/88,9.374,0.18
12/31/89,9.374,0
12/31/90,9.374,0
12/31/91,9.373,-0.01
12/31/92,9.373,0
12/31/93,9.373,0
12/31/94,9.356,-0.18
12/31/95,9.339,-0.18
12/31/96,9.322,-0.18
12/31/97,9.305,-0.18
12/31/98,9.288,-0.18
12/31/99,9.271,-0.18
12/31/00,9.254,-0.18
