, Births per 1000 People, Deaths per 1000 People, Population,Country,Divorces,Marriages,Total Number of Births,Total Number of Deaths,Unnamed: 0,date,category
0,24.268,9.649,158804395,United States,385000,1667000,3853865.058,1532303.607,0,12/31/1950,Historical
1,24.211,9.619,160872266,United States,381000,1595000,3894878.432,1547430.327,1,12/31/1951,Historical
2,24.155,9.589,163266028,United States,392000,1539000,3943690.906,1565557.942,2,12/31/1952,Historical
3,24.099,9.559,165910003,United States,390000,1546000,3998265.162,1585933.719,3,12/31/1953,Historical
4,24.043,9.529,168736387,United States,379000,1490000,4056928.953,1607889.032,4,12/31/1954,Historical
5,23.987,9.499,171685336,United States,377000,1531000,4118216.155,1630839.007,5,12/31/1955,Historical
6,23.93,9.469,174705003,United States,382000,1585000,4180690.722,1654281.673,6,12/31/1956,Historical
7,23.874,9.439,177751483,United States,381000,1518000,4243638.905,1677796.248,7,12/31/1957,Historical
8,23.818,9.409,180788392,United States,368000,1451000,4306017.921,1701037.98,8,12/31/1958,Historical
9,23.257,9.416,183786252,United States,395000,1494000,4274316.863,1730531.349,9,12/31/1959,Historical
10,22.696,9.423,186720571,United States,393000,1523000,4237810.079,1759467.941,10,12/31/1960,Historical
11,22.134,9.429,189569843,United States,414000,1548000,4195938.905,1787454.05,11,12/31/1961,Historical
12,21.573,9.436,192313746,United States,413000,1577000,4148784.442,1814672.507,12,12/31/1962,Historical
13,21.012,9.443,194932403,United States,428000,1654000,4095919.652,1840746.682,13,12/31/1963,Historical
14,20.336,9.473,197408505,United States,450000,1725000,4014499.358,1870050.768,14,12/31/1964,Historical
15,19.66,9.503,199733676,United States,479000,1800000,3926764.07,1898069.123,15,12/31/1965,Historical
16,18.984,9.534,201895760,United States,499000,1857000,3832789.108,1924874.176,16,12/31/1966,Historical
17,18.308,9.564,203905080,United States,523000,1927000,3733094.205,1950148.185,17,12/31/1967,Historical
18,17.632,9.594,205805754,United States,584000,2069000,3628767.055,1974500.404,18,12/31/1968,Historical
19,17.232,9.555,207659263,United States,639000,2145000,3578384.42,1984184.258,19,12/31/1969,Historical
20,16.832,9.516,209513341,United States,708000,2185802,3526528.556,1993728.953,20,12/31/1970,Historical
21,16.431,9.476,211384068,United States,773000,2190481,3473251.621,2003075.428,21,12/31/1971,Historical
22,16.031,9.437,213269802,United States,845000,2282154,3418928.196,2012627.121,22,12/31/1972,Historical
23,15.631,9.398,215178797,United States,915000,2284108,3363459.776,2022250.334,23,12/31/1973,Historical
24,15.456,9.288,217114909,United States,983931,2245929,3355728.034,2016563.275,24,12/31/1974,Historical
25,15.281,9.178,219081251,United States,1036709,2159810,3347780.597,2010727.722,25,12/31/1975,Historical
26,15.106,9.069,221086429,United States,1090430,2159051,3339731.596,2005032.825,26,12/31/1976,Historical
27,14.931,8.959,223135663,United States,1101445,2180861,3331638.584,1999072.405,27,12/31/1977,Historical
28,14.756,8.849,225223303,United States,1135408,2293079,3323395.059,1993001.008,28,12/31/1978,Historical
29,14.871,8.845,227339318,United States,1193062,2341102,3380762.998,2010816.268,29,12/31/1979,Historical
30,14.986,8.841,229476354,United States,1184175,2413896,3438932.641,2028800.446,30,12/31/1980,Historical
31,15.102,8.837,231636058,United States,1219042,2438085,3498167.748,2046967.845,31,12/31/1981,Historical
32,15.217,8.833,233821844,United States,1170000,2495000,3558067,2065348.348,32,12/31/1982,Historical
33,15.332,8.829,236030238,United States,1179000,2444000,3618815.609,2083910.971,33,12/31/1983,Historical
34,15.396,8.854,238256844,United States,1181970,2482137,3668202.37,2109526.097,34,12/31/1984,Historical
35,15.461,8.878,240499825,United States,1192530,2408911,3718367.794,2135157.446,35,12/31/1985,Historical
36,15.525,8.903,242763148,United States,1179347,2406830,3768897.873,2161320.307,36,12/31/1986,Historical
37,15.59,8.927,245052789,United States,1165646,2404146,3820372.981,2187586.247,37,12/31/1987,Historical
38,15.654,8.952,247372264,United States,1151787,2377092,3872365.421,2214476.507,38,12/31/1988,Historical
39,15.613,8.925,249725805,United States,1162719,2399654,3898968.993,2228802.81,39,12/31/1989,Historical
40,15.573,8.898,252120309,United States,1175851,2451774,3926269.572,2243366.509,40,12/31/1990,Historical
41,15.532,8.871,254539370,United States,1191591,2383182,3953505.495,2258018.751,41,12/31/1991,Historical
42,15.492,8.844,256990613,United States,1233226,2389375,3981298.577,2272824.981,42,12/31/1992,Historical
43,15.451,8.817,259532129,United States,1197297,2342538,4010030.925,2288294.781,43,12/31/1993,Historical
44,15.217,8.785,262241196,United States,1211893,2397441,3990524.28,2303788.907,44,12/31/1994,Historical
45,14.983,8.754,265163745,United States,,,3972948.391,2321243.424,45,12/31/1995,Historical
46,14.75,8.722,268335003,United States,,,3957941.294,2340417.896,46,12/31/1996,Historical
47,14.516,8.691,271713635,United States,1163000,2384000,3944195.126,2361463.202,47,12/31/1997,Historical
48,14.282,8.659,275175301,United States,1135000,2244000,3930053.649,2382742.931,48,12/31/1998,Historical
49,14.232,8.631,278548150,United States,1145245,2358000,3964297.271,2404149.083,49,12/31/1999,Historical
