,date,Country, Births per 1000 People, Population,Total Number of Births, Deaths per 1000 People,Total Number of Deaths
0,12/31/50,Iran,51.723,17119265,885459.7436,28.71,491494.0982
1,12/31/51,Iran,51.382,17516679,900042.0004,28.071,491710.6962
2,12/31/52,Iran,51.04,17933502,915325.9421,27.433,491969.7604
3,12/31/53,Iran,50.698,18369051,931274.1476,26.795,492198.7215
4,12/31/54,Iran,50.356,18822757,947838.7515,26.157,492346.8548
5,12/31/55,Iran,50.014,19294127,964976.4678,25.519,492366.8269
6,12/31/56,Iran,49.673,19782824,982672.2166,24.88,492196.6611
7,12/31/57,Iran,49.331,20288539,1000853.917,24.242,491834.7624
8,12/31/58,Iran,48.989,20811144,1019517.133,23.604,491226.243
9,12/31/59,Iran,48.465,21350574,1034755.569,22.941,489803.5181
10,12/31/60,Iran,47.942,21906914,1050261.271,22.278,488042.2301
11,12/31/61,Iran,47.418,22480372,1065974.279,21.614,485890.7604
12,12/31/62,Iran,46.895,23071315,1081929.317,20.951,483367.1206
13,12/31/63,Iran,46.371,23680258,1098077.244,20.288,480425.0743
14,12/31/64,Iran,45.798,24307860,1113251.372,19.684,478475.9162
15,12/31/65,Iran,45.226,24954873,1128609.086,19.081,476163.9317
16,12/31/66,Iran,44.653,25624373,1144205.128,18.477,473461.5399
17,12/31/67,Iran,44.081,26317783,1160114.192,17.874,470404.0533
18,12/31/68,Iran,43.508,27032571,1176133.099,17.27,466852.5012
19,12/31/69,Iran,43.07,27764924,1195835.277,16.674,462952.3428
20,12/31/70,Iran,42.632,28513866,1215603.135,16.078,458445.9375
21,12/31/71,Iran,42.194,29281591,1235507.451,15.482,453337.5919
22,12/31/72,Iran,41.756,30075297,1255824.102,14.886,447700.8711
23,12/31/73,Iran,41.318,30905707,1276962.002,14.29,441642.553
24,12/31/74,Iran,41.578,31786471,1321617.891,13.772,437763.2786
25,12/31/75,Iran,41.838,32729772,1369348.201,13.255,433833.1279
26,12/31/76,Iran,42.099,33733961,1420166.024,12.737,429669.4613
27,12/31/77,Iran,42.359,34803045,1474222.183,12.22,425293.2099
28,12/31/78,Iran,42.619,35960805,1532613.548,11.702,420813.3401
29,12/31/79,Iran,42.976,37237137,1600303.2,12.02,447590.3867
30,12/31/80,Iran,43.333,38650246,1674831.11,12.338,476866.7351
31,12/31/81,Iran,43.69,40199906,1756333.893,12.655,508729.8104
32,12/31/82,Iran,44.047,41869236,1844214.238,12.973,543169.5986
33,12/31/83,Iran,44.404,43636837,1937650.11,13.291,579977.2006
34,12/31/84,Iran,43.126,45472791,1961059.585,12.434,565408.6833
35,12/31/85,Iran,41.848,47347186,1981385.04,11.577,548138.3723
36,12/31/86,Iran,40.571,49260255,1998537.806,10.719,528020.6733
37,12/31/87,Iran,39.293,51193782,2011557.276,9.862,504873.0781
38,12/31/88,Iran,38.015,53077313,2017734.054,9.005,477961.2036
39,12/31/89,Iran,35.656,54822003,1954733.339,8.391,460011.4272
40,12/31/90,Iran,33.297,56366217,1876825.927,7.777,438360.0696
41,12/31/91,Iran,30.939,57679034,1784531.633,7.163,413154.9205
42,12/31/92,Iran,28.58,58780370,1679942.975,6.549,384952.6431
43,12/31/93,Iran,26.221,59723764,1566016.816,5.935,354460.5393
44,12/31/94,Iran,24.798,60590614,1502526.046,5.799,351364.9706
45,12/31/95,Iran,23.375,61442664,1436222.271,5.663,347949.8062
46,12/31/96,Iran,21.951,62294920,1367435.789,5.528,344366.3178
47,12/31/97,Iran,20.528,63136312,1296062.213,5.392,340430.9943
48,12/31/98,Iran,19.105,63971836,1222181.927,5.256,336235.97
49,12/31/99,Iran,18.763,64800880,1215858.911,5.209,337547.7839
50,12/31/00,Iran,18.42,65623405,1208783.12,5.162,338748.0166
51,12/31/01,Iran,18.078,66449112,1201267.047,5.115,339887.2079
52,12/31/02,Iran,17.735,67284796,1193295.857,5.068,340999.3461
53,12/31/03,Iran,17.393,68122938,1184862.261,5.021,342045.2717
54,12/31/04,Iran,17.477,68951281,1205061.538,5.028,346687.0409
55,12/31/05,Iran,17.561,69762347,1225096.576,5.036,351323.1795
56,12/31/06,Iran,17.646,70554760,1245009.295,5.043,355807.6547
57,12/31/07,Iran,17.73,71336475,1264795.702,5.051,360320.5352
58,12/31/08,Iran,17.814,72120604,1284756.44,5.058,364786.015
59,12/31/09,Iran,17.953,72924837,1309219.599,4.999,364551.2602
60,12/31/10,Iran,18.093,73762519,1334585.256,4.941,364460.6064
61,12/31/11,Iran,18.232,74634957,1360744.536,4.882,364367.8601
62,12/31/12,Iran,18.372,75539878,1387818.639,4.824,364404.3715
63,12/31/13,Iran,18.511,76481961,1415757.58,4.765,364436.5442
64,12/31/14,Iran,18.628,77465770,1443032.364,4.788,370906.1068
65,12/31/15,Iran,18.745,78492215,1471336.57,4.811,377626.0464
66,12/31/16,Iran,18.863,79563989,1500815.525,4.833,384532.7588
67,12/31/17,Iran,18.98,80673883,1531190.299,4.856,391752.3758
68,12/31/18,Iran,19.097,81800188,1562138.19,4.879,399103.1173
69,12/31/19,Iran,18.547,82913906,1537804.215,4.866,403459.0666
