,date,Country, Births per 1000 People, Population,Total Number of Births, Deaths per 1000 People,Total Number of Deaths
0,12/31/50,Italy,18.607,46598601,867060.1688069999,10.003,466125.80580300005
1,12/31/51,Italy,18.477,47009982,868603.437414,9.969,468642.51055799995
2,12/31/52,Italy,18.346,47390568,869427.360528,9.935,470825.29308000003
3,12/31/53,Italy,18.215,47737391,869536.577065,9.901,472647.908291
4,12/31/54,Italy,18.084,48051033,868954.880772,9.867,474119.54261100007
5,12/31/55,Italy,17.953,48335578,867768.631834,9.833,475283.738474
6,12/31/56,Italy,17.823,48598908,866178.337284,9.799,476220.699492
7,12/31/57,Italy,17.692,48852439,864297.350788,9.765,477044.06683500006
8,12/31/58,Italy,17.561,49110364,862427.102204,9.731,477892.952084
9,12/31/59,Italy,17.766,49388391,877434.1545059999,9.76,482030.69616
10,12/31/60,Italy,17.972,49699951,893207.5193720001,9.789,486512.82033899997
11,12/31/61,Italy,18.177,50052172,909798.330444,9.818999999999999,491462.276868
12,12/31/62,Italy,18.383,50442339,927281.517837,9.847999999999999,496756.15447199997
13,12/31/63,Italy,18.588,50856405,945318.85614,9.877,502308.71218500007
14,12/31/64,Italy,18.438,51273231,945375.833178,9.892000000000001,507194.801052
15,12/31/65,Italy,18.287,51677257,945021.998759,9.907,511966.58509899996
16,12/31/66,Italy,18.137,52062754,944262.1692979999,9.922,516566.645188
17,12/31/67,Italy,17.986,52433489,943068.733154,9.937000000000001,521031.5801930001
18,12/31/68,Italy,17.836,52794523,941643.112228,9.952,525411.092896
19,12/31/69,Italy,17.51,53154573,930736.5732300001,9.933,527984.373609
20,12/31/70,Italy,17.184,53518969,919669.963296,9.913,530533.5396970001
21,12/31/71,Italy,16.857,53888874,908404.749018,9.894,533176.519356
22,12/31/72,Italy,16.531,54258741,896951.247471,9.874,535750.808634
23,12/31/73,Italy,16.205,54619237,885104.7355849999,9.855,538272.580635
24,12/31/74,Italy,15.597000000000001,54957794,857176.7130180001,9.857999999999999,541773.933252
25,12/31/75,Italy,14.989,55265284,828371.341876,9.862,545026.230808
26,12/31/76,Italy,14.382,55537956,798746.883192,9.865,547881.9359400001
27,12/31/77,Italy,13.774000000000001,55777880,768284.51912,9.869,550471.89772
28,12/31/78,Italy,13.165999999999999,55988981,737150.923846,9.872,552723.220432
29,12/31/79,Italy,12.718,56177851,714469.909018,9.855,553632.721605
30,12/31/80,Italy,12.269,56349349,691350.1628810001,9.837,554308.546113
31,12/31/81,Italy,11.821,56505478,667951.255438,9.82,554883.79396
32,12/31/82,Italy,11.372,56644863,644165.382036,9.802,555232.947126
33,12/31/83,Italy,10.924000000000001,56765251,620103.6019240001,9.785,555447.981035
34,12/31/84,Italy,10.741,56863137,610766.954517,9.745,554131.2700649999
35,12/31/85,Italy,10.559000000000001,56936774,601195.396666,9.705,552571.3916699999
36,12/31/86,Italy,10.376,56983931,591265.268056,9.665,550749.693115
37,12/31/87,Italy,10.193999999999999,57007741,581136.911754,9.625,548699.507125
38,12/31/88,Italy,10.011000000000001,57018183,570809.030013,9.585,546519.284055
39,12/31/89,Italy,9.939,57028703,566808.2791169999,9.617,548445.0367510001
40,12/31/90,Italy,9.867,57048236,562894.9446120001,9.649,550458.429164
41,12/31/91,Italy,9.794,57088113,559120.978722,9.68,552612.9338400001
42,12/31/92,Italy,9.722000000000001,57145306,555566.664932,9.712,554995.211872
43,12/31/93,Italy,9.65,57197613,551956.96545,9.744,557333.541072
44,12/31/94,Italy,9.573,57213544,547705.256712,9.777000000000001,559376.8196880001
45,12/31/95,Italy,9.496,57174408,542928.1783680001,9.811,560938.116888
46,12/31/96,Italy,9.418,57065225,537440.2890499999,9.844,561750.0749
47,12/31/97,Italy,9.341000000000001,56903640,531536.90124,9.878,562094.1559199999
48,12/31/98,Italy,9.264,56742760,525664.9286399999,9.911,562377.49436
49,12/31/99,Italy,9.317,56655632,527860.523344,9.887,560154.233584
50,12/31/00,Italy,9.37,56692178,531205.70786,9.863,559154.951614
51,12/31/01,Italy,9.423,56875147,535934.510181,9.839,559594.5713330001
52,12/31/02,Italy,9.476,57182519,541861.550044,9.815,561246.423985
53,12/31/03,Italy,9.529,57564588,548532.9590520001,9.791,563614.8811080001
54,12/31/04,Italy,9.566,57948424,554334.6239840001,9.781,566793.5351440001
55,12/31/05,Italy,9.603,58281212,559674.478836,9.77,569407.44124
56,12/31/06,Italy,9.641,58542619,564409.3897790001,9.76,571375.96144
57,12/31/07,Italy,9.677999999999999,58747861,568561.7987579999,9.749,572732.8968890001
58,12/31/08,Italy,9.715,58922109,572428.288935,9.738999999999999,573842.419551
59,12/31/09,Italy,9.54,59105625,563867.6625,9.815,580121.709375
60,12/31/10,Italy,9.365,59325229,555580.769585,9.892000000000001,586845.1652680001
61,12/31/11,Italy,9.189,59589076,547564.019364,9.968,593983.909568
62,12/31/12,Italy,9.014,59879471,539753.551594,10.045,601489.286195
63,12/31/13,Italy,8.839,60166830,531814.61037,10.121,608948.48643
64,12/31/14,Italy,8.597000000000001,60409620,519341.5031400001,10.192,615694.8470399999
65,12/31/15,Italy,8.354,60578494,506072.73887599993,10.262,621656.505428
66,12/31/16,Italy,8.112,60663060,492098.74272000004,10.333,626831.39898
67,12/31/17,Italy,7.869,60673701,477441.35316899995,10.402999999999999,631188.5115029999
68,12/31/18,Italy,7.627000000000001,60627291,462404.34845700004,10.474,635010.245934
69,12/31/19,Italy,7.5089999999999995,60550075,454670.513175,10.565999999999999,639772.0924499999
