date, Births per 1000 People, Annual % Change
12/31/50,18.607,
12/31/51,18.477,-0.7
12/31/52,18.346,-0.71
12/31/53,18.215,-0.71
12/31/54,18.084,-0.72
12/31/55,17.953,-0.72
12/31/56,17.823,-0.72
12/31/57,17.692,-0.74
12/31/58,17.561,-0.74
12/31/59,17.766,1.17
12/31/60,17.972,1.16
12/31/61,18.177,1.14
12/31/62,18.383,1.13
12/31/63,18.588,1.12
12/31/64,18.438,-0.81
12/31/65,18.287,-0.82
12/31/66,18.137,-0.82
12/31/67,17.986,-0.83
12/31/68,17.836,-0.83
12/31/69,17.51,-1.83
12/31/70,17.184,-1.86
12/31/71,16.857,-1.9
12/31/72,16.531,-1.93
12/31/73,16.205,-1.97
12/31/74,15.597,-3.75
12/31/75,14.989,-3.9
12/31/76,14.382,-4.05
12/31/77,13.774,-4.23
12/31/78,13.166,-4.41
12/31/79,12.718,-3.4
12/31/80,12.269,-3.53
12/31/81,11.821,-3.65
12/31/82,11.372,-3.8
12/31/83,10.924,-3.94
12/31/84,10.741,-1.68
12/31/85,10.559,-1.69
12/31/86,10.376,-1.73
12/31/87,10.194,-1.75
12/31/88,10.011,-1.8
12/31/89,9.939,-0.72
12/31/90,9.867,-0.72
12/31/91,9.794,-0.74
12/31/92,9.722,-0.74
12/31/93,9.65,-0.74
12/31/94,9.573,-0.8
12/31/95,9.496,-0.8
12/31/96,9.418,-0.82
12/31/97,9.341,-0.82
12/31/98,9.264,-0.82
12/31/99,9.317,0.57
12/31/00,9.37,0.57
12/31/01,9.423,0.57
12/31/02,9.476,0.56
12/31/03,9.529,0.56
12/31/04,9.566,0.39
12/31/05,9.603,0.39
12/31/06,9.641,0.4
12/31/07,9.678,0.38
12/31/08,9.715,0.38
12/31/09,9.54,-1.8
12/31/10,9.365,-1.83
12/31/11,9.189,-1.88
12/31/12,9.014,-1.9
12/31/13,8.839,-1.94
12/31/14,8.597,-2.74
12/31/15,8.354,-2.83
12/31/16,8.112,-2.9
12/31/17,7.869,-3
12/31/18,7.627,-3.08
12/31/19,7.509,-1.55
12/31/20,7.391,-1.57
12/31/21,7.272,-1.61
12/31/22,7.154,-1.62
12/31/23,7.036,-1.65
12/31/24,7.026,-0.14
12/31/25,7.016,-0.14
12/31/26,7.006,-0.14
12/31/27,6.996,-0.14
12/31/28,6.986,-0.14
12/31/29,7.025,0.56
12/31/30,7.064,0.56
12/31/31,7.104,0.57
12/31/32,7.143,0.55
12/31/33,7.182,0.55
12/31/34,7.222,0.56
12/31/35,7.262,0.55
12/31/36,7.302,0.55
12/31/37,7.342,0.55
12/31/38,7.382,0.54
12/31/39,7.398,0.22
12/31/40,7.413,0.2
12/31/41,7.429,0.22
12/31/42,7.444,0.2
12/31/43,7.46,0.21
12/31/44,7.434,-0.35
12/31/45,7.408,-0.35
12/31/46,7.381,-0.36
12/31/47,7.355,-0.35
12/31/48,7.329,-0.35
12/31/49,7.282,-0.64
12/31/50,7.236,-0.63
12/31/51,7.189,-0.65
12/31/52,7.143,-0.64
12/31/53,7.096,-0.66
12/31/54,7.076,-0.28
12/31/55,7.055,-0.3
12/31/56,7.035,-0.28
12/31/57,7.014,-0.3
12/31/58,6.994,-0.29
12/31/59,7.018,0.34
12/31/60,7.041,0.33
12/31/61,7.065,0.34
12/31/62,7.088,0.33
12/31/63,7.112,0.34
12/31/64,7.167,0.77
12/31/65,7.223,0.78
12/31/66,7.278,0.76
12/31/67,7.334,0.77
12/31/68,7.389,0.75
12/31/69,7.442,0.72
12/31/70,7.495,0.71
12/31/71,7.547,0.69
12/31/72,7.6,0.7
12/31/73,7.653,0.7
12/31/74,7.679,0.34
12/31/75,7.705,0.34
12/31/76,7.731,0.34
12/31/77,7.757,0.34
12/31/78,7.783,0.34
12/31/79,7.78,-0.04
12/31/80,7.777,-0.04
12/31/81,7.774,-0.04
12/31/82,7.771,-0.04
12/31/83,7.768,-0.04
12/31/84,7.753,-0.19
12/31/85,7.737,-0.21
12/31/86,7.722,-0.19
12/31/87,7.706,-0.21
12/31/88,7.691,-0.19
12/31/89,7.685,-0.08
12/31/90,7.68,-0.07
12/31/91,7.674,-0.08
12/31/92,7.669,-0.07
12/31/93,7.663,-0.08
12/31/94,7.677,0.18
12/31/95,7.691,0.18
12/31/96,7.705,0.18
12/31/97,7.719,0.18
12/31/98,7.733,0.18
12/31/99,7.747,0.18
12/31/00,7.761,0.18
