,date,Country, Births per 1000 People, Population,Total Number of Births, Deaths per 1000 People,Total Number of Deaths
0,12/31/50,Russia,27.646,102798657,2841971.671422,12.26,1260311.53482
1,12/31/51,Russia,27.403000000000002,104304693,2858261.5022790004,11.839,1234863.260427
2,12/31/52,Russia,27.160999999999998,105967080,2878171.8598799994,11.418,1209932.1194399998
3,12/31/53,Russia,26.918000000000003,107727318,2899803.9459240003,10.997,1184677.316046
4,12/31/54,Russia,26.675,109536494,2921885.97745,10.575999999999999,1158457.960544
5,12/31/55,Russia,26.433000000000003,111355300,2943454.6449000007,10.155,1130813.0715
6,12/31/56,Russia,26.19,113154334,2963512.00746,9.734,1101444.2871559998
7,12/31/57,Russia,25.948,114913779,2981782.737492,9.312999999999999,1070192.0238269998
8,12/31/58,Russia,25.705,116622407,2997778.971935,8.892000000000001,1037006.4430440002
9,12/31/59,Russia,24.789,118275877,2931940.714953,8.734,1033021.5097180001
10,12/31/60,Russia,23.872,119871700,2861577.2224000003,8.576,1028019.6992
11,12/31/61,Russia,22.956,121403892,2786947.744752,8.419,1022099.366748
12,12/31/62,Russia,22.039,122858227,2707672.4648530004,8.261000000000001,1014931.8132470001
13,12/31/63,Russia,21.123,124210252,2623693.1529960004,8.103,1006475.6719559999
14,12/31/64,Russia,19.893,125430993,2495198.743749,8.169,1024645.781817
15,12/31/65,Russia,18.663,126503736,2360939.224968,8.236,1041884.7696960001
16,12/31/66,Russia,17.432000000000002,127417190,2221136.4560800004,8.302,1057817.51138
17,12/31/67,Russia,16.202,128187396,2076892.1899920003,8.369,1072800.317124
18,12/31/68,Russia,14.972000000000001,128859798,1929288.8956560001,8.435,1086932.39613
19,12/31/69,Russia,15.052,129497501,1949196.385052,8.624,1116786.4486240002
20,12/31/70,Russia,15.132,130148653,1969409.4171959998,8.812999999999999,1147000.078889
21,12/31/71,Russia,15.210999999999999,130830719,1990066.066709,9.002,1177738.1324380003
22,12/31/72,Russia,15.290999999999999,131539634,2011372.5434939996,9.191,1208980.776094
23,12/31/73,Russia,15.370999999999999,132275731,2033210.2612009998,9.38,1240746.3567800003
