date, Births per 1000 People, Annual % Change
12/31/50,27.646,
12/31/51,27.403,-0.88
12/31/52,27.161,-0.88
12/31/53,26.918,-0.89
12/31/54,26.675,-0.9
12/31/55,26.433,-0.91
12/31/56,26.19,-0.92
12/31/57,25.948,-0.92
12/31/58,25.705,-0.94
12/31/59,24.789,-3.56
12/31/60,23.872,-3.7
12/31/61,22.956,-3.84
12/31/62,22.039,-3.99
12/31/63,21.123,-4.16
12/31/64,19.893,-5.82
12/31/65,18.663,-6.18
12/31/66,17.432,-6.6
12/31/67,16.202,-7.06
12/31/68,14.972,-7.59
12/31/69,15.052,0.53
12/31/70,15.132,0.53
12/31/71,15.211,0.52
12/31/72,15.291,0.53
12/31/73,15.371,0.52
12/31/74,15.451,0.52
12/31/75,15.531,0.52
12/31/76,15.61,0.51
12/31/77,15.69,0.51
12/31/78,15.77,0.51
12/31/79,15.963,1.22
12/31/80,16.157,1.22
12/31/81,16.35,1.19
12/31/82,16.544,1.19
12/31/83,16.737,1.17
12/31/84,16.625,-0.67
12/31/85,16.513,-0.67
12/31/86,16.402,-0.67
12/31/87,16.29,-0.68
12/31/88,16.178,-0.69
12/31/89,15.113,-6.58
12/31/90,14.048,-7.05
12/31/91,12.982,-7.59
12/31/92,11.917,-8.2
12/31/93,10.852,-8.94
12/31/94,10.464,-3.58
12/31/95,10.076,-3.71
12/31/96,9.688,-3.85
12/31/97,9.3,-4
12/31/98,8.912,-4.17
12/31/99,9.092,2.02
12/31/00,9.272,1.98
12/31/01,9.451,1.93
12/31/02,9.631,1.9
12/31/03,9.811,1.87
12/31/04,10.133,3.28
12/31/05,10.455,3.18
12/31/06,10.776,3.07
12/31/07,11.098,2.99
12/31/08,11.42,2.9
12/31/09,11.732,2.73
12/31/10,12.044,2.66
12/31/11,12.357,2.6
12/31/12,12.669,2.52
12/31/13,12.981,2.46
12/31/14,12.939,-0.32
12/31/15,12.897,-0.32
12/31/16,12.854,-0.33
12/31/17,12.812,-0.33
12/31/18,12.77,-0.33
12/31/19,12.482,-2.26
12/31/20,12.194,-2.31
12/31/21,11.905,-2.37
12/31/22,11.617,-2.42
12/31/23,11.329,-2.48
12/31/24,11.108,-1.95
12/31/25,10.888,-1.98
12/31/26,10.667,-2.03
12/31/27,10.447,-2.06
12/31/28,10.226,-2.12
12/31/29,10.172,-0.53
12/31/30,10.119,-0.52
12/31/31,10.065,-0.53
12/31/32,10.012,-0.53
12/31/33,9.958,-0.54
12/31/34,10.072,1.14
12/31/35,10.186,1.13
12/31/36,10.299,1.11
12/31/37,10.413,1.11
12/31/38,10.527,1.09
12/31/39,10.687,1.52
12/31/40,10.847,1.5
12/31/41,11.007,1.48
12/31/42,11.167,1.45
12/31/43,11.327,1.43
12/31/44,11.398,0.63
12/31/45,11.47,0.63
12/31/46,11.541,0.62
12/31/47,11.613,0.62
12/31/48,11.684,0.61
12/31/49,11.63,-0.46
12/31/50,11.575,-0.47
12/31/51,11.521,-0.47
12/31/52,11.466,-0.48
12/31/53,11.412,-0.47
12/31/54,11.299,-0.99
12/31/55,11.186,-1
12/31/56,11.073,-1.01
12/31/57,10.96,-1.02
12/31/58,10.847,-1.03
12/31/59,10.778,-0.64
12/31/60,10.709,-0.64
12/31/61,10.641,-0.63
12/31/62,10.572,-0.65
12/31/63,10.503,-0.65
12/31/64,10.519,0.15
12/31/65,10.535,0.15
12/31/66,10.552,0.16
12/31/67,10.568,0.15
12/31/68,10.584,0.15
12/31/69,10.657,0.69
12/31/70,10.73,0.68
12/31/71,10.803,0.68
12/31/72,10.876,0.68
12/31/73,10.949,0.67
12/31/74,11.002,0.48
12/31/75,11.056,0.49
12/31/76,11.109,0.48
12/31/77,11.163,0.49
12/31/78,11.216,0.47
12/31/79,11.205,-0.1
12/31/80,11.195,-0.09
12/31/81,11.184,-0.1
12/31/82,11.174,-0.09
12/31/83,11.163,-0.1
12/31/84,11.103,-0.54
12/31/85,11.042,-0.55
12/31/86,10.982,-0.54
12/31/87,10.921,-0.56
12/31/88,10.861,-0.55
12/31/89,10.791,-0.64
12/31/90,10.72,-0.66
12/31/91,10.65,-0.65
12/31/92,10.579,-0.67
12/31/93,10.509,-0.66
12/31/94,10.48,-0.28
12/31/95,10.451,-0.28
12/31/96,10.421,-0.29
12/31/97,10.392,-0.28
12/31/98,10.363,-0.28
12/31/99,10.334,-0.28
12/31/00,10.305,-0.28
