,date,Country, Births per 1000 People, Population,Total Number of Births, Deaths per 1000 People,Total Number of Deaths
0,12/31/50,Spain,19.932000000000002,28069735,559485.9580200001,10.610999999999999,297847.958085
1,12/31/51,Spain,20.135,28219620,568202.0487,10.457,295092.56634
2,12/31/52,Spain,20.337,28399030,577551.07311,10.302999999999999,292595.20609
3,12/31/53,Spain,20.539,28600358,587422.752962,10.149,290265.0333419999
4,12/31/54,Spain,20.741,28818010,597714.34541,9.995,288036.00995
5,12/31/55,Spain,20.943,29048395,608360.536485,9.841000000000001,285865.25519500003
6,12/31/56,Spain,21.146,29290079,619368.010534,9.687000000000001,283732.99527300004
7,12/31/57,Spain,21.348000000000003,29543624,630697.285152,9.533,281639.367592
8,12/31/58,Spain,21.55,29811316,642433.8598000001,9.379,279600.332764
9,12/31/59,Spain,21.47,30096581,646173.5940699999,9.255,278543.85715500003
10,12/31/60,Spain,21.391,30402411,650337.973701,9.132,277634.817252
11,12/31/61,Spain,21.311,30729652,654879.613772,9.008,276812.705216
12,12/31/62,Spain,21.232,31075477,659794.527664,8.885,276105.61314499995
13,12/31/63,Spain,21.151999999999997,31432771,664865.9721919999,8.761000000000001,275382.50673100003
14,12/31/64,Spain,20.923000000000002,31791941,665182.7815430001,8.728,277480.061048
15,12/31/65,Spain,20.693,32146263,665202.6202590001,8.695,279511.75678500003
16,12/31/66,Spain,20.464000000000002,32491644,664909.0028160001,8.662,281442.620328
17,12/31/67,Spain,20.234,32830187,664286.003758,8.629,283291.683623
18,12/31/68,Spain,20.005,33168775,663541.343875,8.596,285118.7899
19,12/31/69,Spain,19.887999999999998,33517683,666599.679504,8.584,287715.790872
20,12/31/70,Spain,19.772000000000002,33883749,669949.4852280001,8.572000000000001,290451.49642800004
21,12/31/71,Spain,19.655,34267466,673527.04423,8.561,293363.776426
22,12/31/72,Spain,19.539,34664234,677304.468126,8.549,296344.53646599996
23,12/31/73,Spain,19.422,35069431,681118.488882,8.537,299387.73244700005
24,12/31/74,Spain,19.045,35476423,675648.476035,8.443,299527.439389
25,12/31/75,Spain,18.668,35879209,669793.073612,8.349,299555.51594099996
26,12/31/76,Spain,18.292,36276752,663574.3475840001,8.255,299464.58776
27,12/31/77,Spain,17.915,36666767,656885.130805,8.161,299237.48548699997
28,12/31/78,Spain,17.538,37040396,649614.465048,8.067,298804.874532
29,12/31/79,Spain,16.715999999999998,37386810,624957.9159599999,8.01,299468.34809999994
30,12/31/80,Spain,15.894,37698196,599175.1272239999,7.952000000000001,299776.05459200003
31,12/31/81,Spain,15.071,37971972,572275.590012,7.895,299788.71894
32,12/31/82,Spain,14.249,38209693,544449.9155570001,7.837000000000001,299449.364041
33,12/31/83,Spain,13.427,38413317,515775.60735899996,7.78,298855.60626
34,12/31/84,Spain,12.925,38586708,498733.20090000005,7.857,303175.76475599996
35,12/31/85,Spain,12.423,38733876,481190.941548,7.934,307314.572184
36,12/31/86,Spain,11.92,38855626,463159.06192,8.01,311233.56426
37,12/31/87,Spain,11.418,38954497,444782.446746,8.087,315025.01723899995
38,12/31/88,Spain,10.915999999999999,39038692,426146.3618719999,8.164,318711.881488
39,12/31/89,Spain,10.718,39118561,419272.736798,8.247,322610.77256699995
40,12/31/90,Spain,10.519,39202525,412371.36047500005,8.33,326557.03325
41,12/31/91,Spain,10.321,39299081,405605.815001,8.413,330623.168453
42,12/31/92,Spain,10.122,39410857,398916.69455400005,8.496,334834.641072
43,12/31/93,Spain,9.924,39533725,392332.6869,8.579,339159.826775
44,12/31/94,Spain,9.817,39660069,389342.89737300004,8.635,342464.695815
45,12/31/95,Spain,9.71,39787419,386335.83849,8.692,345832.245948
46,12/31/96,Spain,9.602,39908959,383205.824318,8.748,349123.57333199994
47,12/31/97,Spain,9.495,40035293,380135.107035,8.805,352510.754865
48,12/31/98,Spain,9.388,40201560,377412.24528,8.861,356226.02316000004
49,12/31/99,Spain,9.54,40454470,385935.64379999996,8.849,357981.60503000004
50,12/31/00,Spain,9.692,40824754,395673.515768,8.837,360768.351098
51,12/31/01,Spain,9.845,41319427,406789.758815,8.824,364602.623848
52,12/31/02,Spain,9.997,41919585,419070.091245,8.812000000000001,369395.38302000007
53,12/31/03,Spain,10.149,42596453,432311.40149699996,8.8,374848.78640000004
54,12/31/04,Spain,10.375,43308345,449324.079375,8.735,378298.393575
55,12/31/05,Spain,10.600999999999999,44019123,466646.722923,8.669,381601.777287
56,12/31/06,Spain,10.827,44728565,484276.173255,8.604,384844.57326
57,12/31/07,Spain,11.052999999999999,45429076,502127.5770279999,8.538,387873.450888
58,12/31/08,Spain,11.279000000000002,46068811,519610.1192690001,8.472999999999999,390341.0356029999
59,12/31/09,Spain,10.943,46583565,509763.95179499994,8.475,394795.713375
60,12/31/10,Spain,10.607000000000001,46931015,497797.27610500006,8.476,397787.2831400001
61,12/31/11,Spain,10.27,47084240,483555.14479999995,8.478,399180.18672
62,12/31/12,Spain,9.934,47063060,467524.43804,8.479,399047.6857399999
63,12/31/13,Spain,9.597999999999999,46930555,450439.4668899999,8.481,398018.03695499996
64,12/31/14,Spain,9.382,46777925,438870.49234999996,8.588,401728.8199
65,12/31/15,Spain,9.165,46671926,427748.20178999996,8.695,405812.39657
66,12/31/16,Spain,8.949,46634140,417328.91886000003,8.802999999999999,410520.33441999997
67,12/31/17,Spain,8.732000000000001,46647428,407325.34129600006,8.91,415628.58348000003
68,12/31/18,Spain,8.516,46692858,397636.378728,9.017000000000001,421029.5005860001
69,12/31/19,Spain,8.391,46736776,392168.28741600004,9.115,426005.71324
