,date,Country, Births per 1000 People, Population,Total Number of Births, Deaths per 1000 People,Total Number of Deaths
0,12/31/50,Turkey,50.736000000000004,21408399,1086176.5316640001,25.497,545849.949303
1,12/31/51,Turkey,50.27,21951215,1103487.57805,25.034000000000002,549526.71631
2,12/31/52,Turkey,49.803000000000004,22508953,1121013.386259,24.57,553044.9752100001
3,12/31/53,Turkey,49.336000000000006,23081587,1138753.176232,24.105999999999998,556404.736222
4,12/31/54,Turkey,48.869,23668922,1156676.549218,23.642,559580.653924
5,12/31/55,Turkey,48.402,24270600,1174745.5812000001,23.178,562543.9668
6,12/31/56,Turkey,47.93600000000001,24886128,1192941.4318080002,22.715,565288.39752
7,12/31/57,Turkey,47.468999999999994,25514824,1211163.180456,22.250999999999998,567730.3488239999
8,12/31/58,Turkey,47.001999999999995,26155927,1229380.8808539999,21.787,569859.181549
9,12/31/59,Turkey,46.341,26808633,1242338.861853,21.171999999999997,567592.3778759999
10,12/31/60,Turkey,45.681000000000004,27472345,1254964.191945,20.558000000000003,564776.4685100002
11,12/31/61,Turkey,45.02,28146910,1267173.8882000002,19.942999999999998,561333.82613
12,12/31/62,Turkey,44.36,28832827,1279024.20572,19.329,557309.713083
13,12/31/63,Turkey,43.699,29531365,1290491.119135,18.714000000000002,552649.96461
14,12/31/64,Turkey,43.119,30244261,1304102.290059,18.171,549568.4666309999
15,12/31/65,Turkey,42.54,30972994,1317591.16476,17.627,545960.9652379999
16,12/31/66,Turkey,41.96,31717507,1330866.59372,17.084,541861.8895879999
17,12/31/67,Turkey,41.381,32477992,1343971.7869519999,16.54,537185.9876799999
18,12/31/68,Turkey,40.801,33256464,1356896.9876640001,15.997,532003.654608
19,12/31/69,Turkey,40.469,34055390,1378187.57791,15.619000000000002,531911.13641
20,12/31/70,Turkey,40.137,34876303,1399830.173511,15.241,531549.734023
21,12/31/71,Turkey,39.806,35720599,1421894.163794,14.863,530915.262937
22,12/31/72,Turkey,39.474000000000004,36587261,1444245.5407140001,14.485,529966.475585
23,12/31/73,Turkey,39.141999999999996,37472336,1466742.1757119999,14.107000000000001,528622.243952
24,12/31/74,Turkey,38.506,38370283,1477486.117198,13.713,526171.6907789999
25,12/31/75,Turkey,37.87,39277258,1487429.7604599998,13.319,523133.799302
26,12/31/76,Turkey,37.235,40189567,1496458.5272449998,12.925999999999998,519490.34304199996
27,12/31/77,Turkey,36.599000000000004,41108297,1504522.561903,12.532,515169.178004
28,12/31/78,Turkey,35.963,42039992,1511884.232296,12.138,510281.422896
29,12/31/79,Turkey,35.33,42994041,1518979.46853,11.777999999999999,506383.8148979999
30,12/31/80,Turkey,34.696999999999996,43975971,1525834.2657869996,11.418,502117.636878
31,12/31/81,Turkey,34.065,44988414,1532530.3229099999,11.059000000000001,497526.87042600004
32,12/31/82,Turkey,33.431999999999995,46025411,1538721.5405519998,10.699000000000002,492425.8722890001
33,12/31/83,Turkey,32.799,47073472,1543962.808128,10.339,486692.62700800004
34,12/31/84,Turkey,31.795,48114155,1529789.558225,10.032,482681.20295999997
35,12/31/85,Turkey,30.791,49133937,1512883.054167,9.726,477876.67126200005
36,12/31/86,Turkey,29.785999999999998,50128541,1493128.722226,9.419,472160.727679
37,12/31/87,Turkey,28.781999999999996,51100924,1470786.794568,9.113,465682.720412
38,12/31/88,Turkey,27.778000000000002,52053765,1445949.48417,8.806000000000001,458385.45459000004
39,12/31/89,Turkey,27.114,52992487,1436838.2925180001,8.602,455841.373174
40,12/31/90,Turkey,26.449,53921760,1426176.63024,8.398,452834.94047999993
41,12/31/91,Turkey,25.785,54840590,1414064.61315,8.193999999999999,449363.79445999995
42,12/31/92,Turkey,25.12,55748948,1400413.57376,7.99,445434.09452000004
43,12/31/93,Turkey,24.456,56653804,1385525.430624,7.7860000000000005,441106.517944
44,12/31/94,Turkey,24.129,57564204,1388966.678316,7.603,437660.64301199996
45,12/31/95,Turkey,23.802,58486456,1392094.6257119998,7.42,433969.50351999997
46,12/31/96,Turkey,23.474,59423282,1394902.121668,7.237,430046.291834
47,12/31/97,Turkey,23.147,60372568,1397443.8314959998,7.053999999999999,425868.094672
48,12/31/98,Turkey,22.82,61329676,1399543.2063199999,6.871,421396.203796
49,12/31/99,Turkey,22.358,62287397,1392621.622126,6.729,419131.894413
50,12/31/00,Turkey,21.895,63240194,1384644.04763,6.587999999999999,416626.39807199995
51,12/31/01,Turkey,21.433000000000003,64192243,1375832.344219,6.446000000000001,413783.198378
52,12/31/02,Turkey,20.97,65145367,1366098.34599,6.305,410741.538935
53,12/31/03,Turkey,20.508000000000003,66089402,1355361.456216,6.162999999999999,407308.984526
54,12/31/04,Turkey,20.141,67010930,1349667.14113,6.1129999999999995,409637.81509
55,12/31/05,Turkey,19.774,67903469,1342723.196006,6.063,411698.732547
56,12/31/06,Turkey,19.407,68756810,1334363.41167,6.013,413434.69853
57,12/31/07,Turkey,19.04,69581848,1324838.3859199998,5.962999999999999,414916.5596239999
58,12/31/08,Turkey,18.673,70418604,1314926.592492,5.912999999999999,416385.20545199997
59,12/31/09,Turkey,18.394000000000002,71321399,1311885.813206,5.832000000000001,415946.3989680001
60,12/31/10,Turkey,18.115,72326988,1310203.38762,5.751,415952.50798800006
61,12/31/11,Turkey,17.836,73443250,1309933.807,5.669,416349.78425
62,12/31/12,Turkey,17.557000000000002,74651050,1310648.4848500001,5.587999999999999,417150.06739999994
63,12/31/13,Turkey,17.278,75925462,1311840.1324359998,5.507000000000001,418121.519234
64,12/31/14,Turkey,17.058,77229256,1317376.648848,5.485,423602.46916000004
65,12/31/15,Turkey,16.838,78529409,1322278.1887420001,5.462999999999999,429006.1613669999
66,12/31/16,Turkey,16.619,79827871,1326659.388149,5.442,434423.273982
67,12/31/17,Turkey,16.399,81116450,1330228.6635500002,5.42,439651.159
68,12/31/18,Turkey,16.179000000000002,82340088,1332180.2837520002,5.398,444471.795024
69,12/31/19,Turkey,15.922,83429615,1328366.33003,5.444,454190.82406
