date, Births per 1000 People, Annual % Change
12/31/50,24.268,
12/31/51,24.211,-0.23
12/31/52,24.155,-0.23
12/31/53,24.099,-0.23
12/31/54,24.043,-0.23
12/31/55,23.987,-0.23
12/31/56,23.93,-0.24
12/31/57,23.874,-0.23
12/31/58,23.818,-0.23
12/31/59,23.257,-2.36
12/31/60,22.696,-2.41
12/31/61,22.134,-2.48
12/31/62,21.573,-2.53
12/31/63,21.012,-2.6
12/31/64,20.336,-3.22
12/31/65,19.66,-3.32
12/31/66,18.984,-3.44
12/31/67,18.308,-3.56
12/31/68,17.632,-3.69
12/31/69,17.232,-2.27
12/31/70,16.832,-2.32
12/31/71,16.431,-2.38
12/31/72,16.031,-2.43
12/31/73,15.631,-2.5
12/31/74,15.456,-1.12
12/31/75,15.281,-1.13
12/31/76,15.106,-1.15
12/31/77,14.931,-1.16
12/31/78,14.756,-1.17
12/31/79,14.871,0.78
12/31/80,14.986,0.77
12/31/81,15.102,0.77
12/31/82,15.217,0.76
12/31/83,15.332,0.76
12/31/84,15.396,0.42
12/31/85,15.461,0.42
12/31/86,15.525,0.41
12/31/87,15.59,0.42
12/31/88,15.654,0.41
12/31/89,15.613,-0.26
12/31/90,15.573,-0.26
12/31/91,15.532,-0.26
12/31/92,15.492,-0.26
12/31/93,15.451,-0.26
12/31/94,15.217,-1.51
12/31/95,14.983,-1.54
12/31/96,14.75,-1.56
12/31/97,14.516,-1.59
12/31/98,14.282,-1.61
12/31/99,14.232,-0.35
12/31/00,14.182,-0.35
12/31/01,14.133,-0.35
12/31/02,14.083,-0.35
12/31/03,14.033,-0.36
12/31/04,13.989,-0.31
12/31/05,13.945,-0.31
12/31/06,13.9,-0.32
12/31/07,13.856,-0.32
12/31/08,13.812,-0.32
12/31/09,13.558,-1.84
12/31/10,13.305,-1.87
12/31/11,13.051,-1.91
12/31/12,12.798,-1.94
12/31/13,12.544,-1.98
12/31/14,12.429,-0.92
12/31/15,12.314,-0.93
12/31/16,12.198,-0.94
12/31/17,12.083,-0.94
12/31/18,11.968,-0.95
12/31/19,11.979,0.09
12/31/20,11.99,0.09
12/31/21,12.001,0.09
12/31/22,12.012,0.09
12/31/23,12.023,0.09
12/31/24,12.009,-0.12
12/31/25,11.994,-0.12
12/31/26,11.98,-0.12
12/31/27,11.965,-0.13
12/31/28,11.951,-0.12
12/31/29,11.895,-0.47
12/31/30,11.84,-0.46
12/31/31,11.784,-0.47
12/31/32,11.729,-0.47
12/31/33,11.673,-0.48
12/31/34,11.614,-0.51
12/31/35,11.555,-0.51
12/31/36,11.497,-0.5
12/31/37,11.438,-0.51
12/31/38,11.379,-0.52
12/31/39,11.324,-0.48
12/31/40,11.269,-0.49
12/31/41,11.213,-0.5
12/31/42,11.158,-0.49
12/31/43,11.103,-0.49
12/31/44,11.065,-0.34
12/31/45,11.028,-0.33
12/31/46,10.99,-0.34
12/31/47,10.953,-0.34
12/31/48,10.915,-0.35
12/31/49,10.904,-0.1
12/31/50,10.892,-0.11
12/31/51,10.881,-0.1
12/31/52,10.869,-0.11
12/31/53,10.858,-0.1
12/31/54,10.859,0.01
12/31/55,10.86,0.01
12/31/56,10.861,0.01
12/31/57,10.862,0.01
12/31/58,10.863,0.01
12/31/59,10.852,-0.1
12/31/60,10.841,-0.1
12/31/61,10.831,-0.09
12/31/62,10.82,-0.1
12/31/63,10.809,-0.1
12/31/64,10.784,-0.23
12/31/65,10.759,-0.23
12/31/66,10.734,-0.23
12/31/67,10.709,-0.23
12/31/68,10.684,-0.23
12/31/69,10.653,-0.29
12/31/70,10.621,-0.3
12/31/71,10.59,-0.29
12/31/72,10.558,-0.3
12/31/73,10.527,-0.29
12/31/74,10.506,-0.2
12/31/75,10.484,-0.21
12/31/76,10.463,-0.2
12/31/77,10.441,-0.21
12/31/78,10.42,-0.2
12/31/79,10.413,-0.07
12/31/80,10.405,-0.08
12/31/81,10.398,-0.07
12/31/82,10.39,-0.08
12/31/83,10.383,-0.07
12/31/84,10.381,-0.02
12/31/85,10.378,-0.03
12/31/86,10.376,-0.02
12/31/87,10.373,-0.03
12/31/88,10.371,-0.02
12/31/89,10.367,-0.04
12/31/90,10.363,-0.04
12/31/91,10.36,-0.03
12/31/92,10.356,-0.04
12/31/93,10.352,-0.04
12/31/94,10.342,-0.1
12/31/95,10.331,-0.11
12/31/96,10.321,-0.1
12/31/97,10.31,-0.11
12/31/98,10.3,-0.1
12/31/99,10.29,-0.1
12/31/00,10.279,-0.11
