date,Marriages,Divorces
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
12/31/50,1667000,385000
12/31/51,1595000,381000
12/31/52,1539000,392000
12/31/53,1546000,390000
12/31/54,1490000,379000
12/31/55,1531000,377000
12/31/56,1585000,382000
12/31/57,1518000,381000
12/31/58,1451000,368000
12/31/59,1494000,395000
12/31/60,1523000,393000
12/31/61,1548000,414000
12/31/62,1577000,413000
12/31/63,1654000,428000
12/31/64,1725000,450000
12/31/65,1800000,479000
12/31/66,1857000,499000
12/31/67,1927000,523000
12/31/68,2069000,584000
12/31/69,2145000,639000
12/31/70,2185802,708000
12/31/71,2190481,773000
12/31/72,2282154,845000
12/31/73,2284108,915000
12/31/74,2245929,983931
12/31/75,2159810,1036709
12/31/76,2159051,1090430
12/31/77,2180861,1101445
12/31/78,2293079,1135408
12/31/79,2341102,1193062
12/31/80,2413896,1184175
12/31/81,2438085,1219042
12/31/82,2495000,1170000
12/31/83,2444000,1179000
12/31/84,2482137,1181970
12/31/85,2408911,1192530
12/31/86,2406830,1179347
12/31/87,2404146,1165646
12/31/88,2377092,1151787
12/31/89,2399654,1162719
12/31/90,2451774,1175851
12/31/91,2383182,1191591
12/31/92,2389375,1233226
12/31/93,2342538,1197297
12/31/94,2397441,1211893
12/31/95,,
12/31/96,,
12/31/97,2384000,1163000
12/31/98,2244000,1135000
12/31/99,2358000,1145245
12/31/00,2315000,944000
12/31/01,2326000,940000
12/31/02,2290000,955000
12/31/03,2245000,927000
12/31/04,2279000,879000
12/31/05,2249000,847000
12/31/06,2193000,872000
12/31/07,2197000,856000
12/31/08,2157000,844000
12/31/09,2080000,840000
12/31/10,2096000,872000
12/31/11,2118000,877000
12/31/12,2131000,851000
12/31/13,2081301,832157
12/31/14,2140272,813862
12/31/15,2221579,800909
12/31/16,2251411,776288
12/31/17,2236496,787251
12/31/18,2132853,782038
12/31/19,2056675,780035
