,date,Country, Births per 1000 People, Population,Total Number of Births, Deaths per 1000 People,Total Number of Deaths
0,12/31/50,United Kingdom,14.39,50616014,728364.44146,11.828,598686.213592
1,12/31/51,United Kingdom,14.640999999999998,50601935,740862.9303349999,11.800999999999998,597153.4349349999
2,12/31/52,United Kingdom,14.892000000000001,50651280,754298.8617600001,11.775,596418.822
3,12/31/53,United Kingdom,15.142999999999999,50750976,768522.029568,11.748,596222.466048
4,12/31/54,United Kingdom,15.394,50890915,783414.74551,11.720999999999998,596492.414715
5,12/31/55,United Kingdom,15.645,51063902,798894.74679,11.695,597192.33389
6,12/31/56,United Kingdom,15.895999999999999,51265880,814922.4284799999,11.668,598170.2878399999
7,12/31/57,United Kingdom,16.147000000000002,51495702,831501.1001940002,11.642000000000001,599512.962684
8,12/31/58,United Kingdom,16.398,51754673,848673.127854,11.615,601130.526895
9,12/31/59,United Kingdom,16.778,52045662,873222.1170359999,11.655999999999999,606644.236272
10,12/31/60,United Kingdom,17.159000000000002,52370602,898627.1597180002,11.697000000000001,612578.9315940001
11,12/31/61,United Kingdom,17.539,52727768,924792.3229520001,11.738,618918.540784
12,12/31/62,United Kingdom,17.92,53109399,951720.4300800001,11.779000000000002,625575.6108210001
13,12/31/63,United Kingdom,18.3,53500716,979063.1028000001,11.82,632378.46312
14,12/31/64,United Kingdom,18.023,53882751,971128.821273,11.807,636193.641057
15,12/31/65,United Kingdom,17.747,54240850,962612.3649500001,11.794,639716.5849
16,12/31/66,United Kingdom,17.47,54568868,953318.1239599999,11.78,642821.26504
17,12/31/67,United Kingdom,17.194000000000003,54866534,943375.1855960002,11.767000000000001,645614.5055780001
18,12/31/68,United Kingdom,16.917,55132596,932678.126532,11.754000000000001,648028.5333840001
19,12/31/69,United Kingdom,16.24,55367947,899175.45928,11.770999999999999,651736.1041369999
20,12/31/70,United Kingdom,15.562999999999999,55573453,864889.6490389999,11.789000000000001,655155.4374170001
21,12/31/71,United Kingdom,14.887,55748531,829928.380997,11.806,658167.1569859999
22,12/31/72,United Kingdom,14.21,55892418,794231.2597800001,11.824000000000002,660871.950432
23,12/31/73,United Kingdom,13.533,56006296,757933.203768,11.841,663170.550936
24,12/31/74,United Kingdom,13.222999999999999,56092066,741705.3887179999,11.857000000000001,665083.626562
25,12/31/75,United Kingdom,12.913,56152333,725095.076029,11.873,666696.649709
26,12/31/76,United Kingdom,12.603,56188348,708141.749844,11.888,667967.0810240001
27,12/31/77,United Kingdom,12.293,56203595,690910.7933349999,11.904000000000002,669047.5948800001
28,12/31/78,United Kingdom,11.982999999999999,56205913,673515.455479,11.92,669974.48296
29,12/31/79,United Kingdom,12.147,56205083,682723.1432009999,11.882,667828.796206
30,12/31/80,United Kingdom,12.311,56209171,691991.104181,11.844000000000001,665741.4213240001
31,12/31/81,United Kingdom,12.474,56220735,701297.44839,11.806,663741.99741
32,12/31/82,United Kingdom,12.638,56241412,710778.9648559999,11.767999999999999,661848.9364159999
33,12/31/83,United Kingdom,12.802,56276798,720455.5679959999,11.73,660126.8405400001
34,12/31/84,United Kingdom,12.989,56332901,731708.051089,11.693,658700.611393
35,12/31/85,United Kingdom,13.175999999999998,56413553,743304.974328,11.655999999999999,657556.3737679999
36,12/31/86,United Kingdom,13.363,56522503,755310.207589,11.62,656791.48486
37,12/31/87,United Kingdom,13.55,56658270,767719.5585,11.583,656272.74141
38,12/31/88,United Kingdom,13.737,56812757,780436.842909,11.546,655960.092322
39,12/31/89,United Kingdom,13.639000000000001,56974297,777072.4367830001,11.474,653723.083778
40,12/31/90,United Kingdom,13.540999999999999,57134391,773656.7885309999,11.402000000000001,651446.326182
