date, Births per 1000 People, Annual % Change
12/31/50,14.39,
12/31/51,14.641,1.74
12/31/52,14.892,1.71
12/31/53,15.143,1.69
12/31/54,15.394,1.66
12/31/55,15.645,1.63
12/31/56,15.896,1.6
12/31/57,16.147,1.58
12/31/58,16.398,1.55
12/31/59,16.778,2.32
12/31/60,17.159,2.27
12/31/61,17.539,2.21
12/31/62,17.92,2.17
12/31/63,18.3,2.12
12/31/64,18.023,-1.51
12/31/65,17.747,-1.53
12/31/66,17.47,-1.56
12/31/67,17.194,-1.58
12/31/68,16.917,-1.61
12/31/69,16.24,-4
12/31/70,15.563,-4.17
12/31/71,14.887,-4.34
12/31/72,14.21,-4.55
12/31/73,13.533,-4.76
12/31/74,13.223,-2.29
12/31/75,12.913,-2.34
12/31/76,12.603,-2.4
12/31/77,12.293,-2.46
12/31/78,11.983,-2.52
12/31/79,12.147,1.37
12/31/80,12.311,1.35
12/31/81,12.474,1.32
12/31/82,12.638,1.31
12/31/83,12.802,1.3
12/31/84,12.989,1.46
12/31/85,13.176,1.44
12/31/86,13.363,1.42
12/31/87,13.55,1.4
12/31/88,13.737,1.38
12/31/89,13.639,-0.71
12/31/90,13.541,-0.72
12/31/91,13.442,-0.73
12/31/92,13.344,-0.73
12/31/93,13.246,-0.73
12/31/94,13.094,-1.15
12/31/95,12.942,-1.16
12/31/96,12.791,-1.17
12/31/97,12.639,-1.19
12/31/98,12.487,-1.2
12/31/99,12.277,-1.68
12/31/00,12.066,-1.72
12/31/01,11.856,-1.74
12/31/02,11.645,-1.78
12/31/03,11.435,-1.8
12/31/04,11.657,1.94
12/31/05,11.878,1.9
12/31/06,12.1,1.87
12/31/07,12.321,1.83
12/31/08,12.543,1.8
12/31/09,12.524,-0.15
12/31/10,12.505,-0.15
12/31/11,12.485,-0.16
12/31/12,12.466,-0.15
12/31/13,12.447,-0.15
12/31/14,12.266,-1.45
12/31/15,12.085,-1.48
12/31/16,11.905,-1.49
12/31/17,11.724,-1.52
12/31/18,11.543,-1.54
12/31/19,11.488,-0.48
12/31/20,11.433,-0.48
12/31/21,11.377,-0.49
12/31/22,11.322,-0.48
12/31/23,11.267,-0.49
12/31/24,11.171,-0.85
12/31/25,11.075,-0.86
12/31/26,10.978,-0.88
12/31/27,10.882,-0.87
12/31/28,10.786,-0.88
12/31/29,10.712,-0.69
12/31/30,10.638,-0.69
12/31/31,10.563,-0.71
12/31/32,10.489,-0.7
12/31/33,10.415,-0.71
12/31/34,10.406,-0.09
12/31/35,10.397,-0.09
12/31/36,10.389,-0.08
12/31/37,10.38,-0.09
12/31/38,10.371,-0.09
12/31/39,10.389,0.17
12/31/40,10.407,0.17
12/31/41,10.424,0.16
12/31/42,10.442,0.17
12/31/43,10.46,0.17
12/31/44,10.447,-0.12
12/31/45,10.435,-0.11
12/31/46,10.422,-0.12
12/31/47,10.41,-0.12
12/31/48,10.397,-0.12
12/31/49,10.358,-0.38
12/31/50,10.318,-0.39
12/31/51,10.279,-0.38
12/31/52,10.239,-0.39
12/31/53,10.2,-0.38
12/31/54,10.161,-0.38
12/31/55,10.122,-0.38
12/31/56,10.082,-0.4
12/31/57,10.043,-0.39
12/31/58,10.004,-0.39
12/31/59,9.978,-0.26
12/31/60,9.951,-0.27
12/31/61,9.925,-0.26
12/31/62,9.898,-0.27
12/31/63,9.872,-0.26
12/31/64,9.865,-0.07
12/31/65,9.858,-0.07
12/31/66,9.85,-0.08
12/31/67,9.843,-0.07
12/31/68,9.836,-0.07
12/31/69,9.84,0.04
12/31/70,9.843,0.03
12/31/71,9.847,0.04
12/31/72,9.85,0.03
12/31/73,9.854,0.04
12/31/74,9.855,0.01
12/31/75,9.856,0.01
12/31/76,9.856,0
12/31/77,9.857,0.01
12/31/78,9.858,0.01
12/31/79,9.847,-0.11
12/31/80,9.836,-0.11
12/31/81,9.826,-0.1
12/31/82,9.815,-0.11
12/31/83,9.804,-0.11
12/31/84,9.784,-0.2
12/31/85,9.764,-0.2
12/31/86,9.745,-0.19
12/31/87,9.725,-0.21
12/31/88,9.705,-0.21
12/31/89,9.684,-0.22
12/31/90,9.663,-0.22
12/31/91,9.641,-0.23
12/31/92,9.62,-0.22
12/31/93,9.599,-0.22
12/31/94,9.586,-0.14
12/31/95,9.572,-0.15
12/31/96,9.559,-0.14
12/31/97,9.545,-0.15
12/31/98,9.532,-0.14
12/31/99,9.519,-0.14
12/31/00,9.505,-0.15
